Latitude,Longitude,Season,sst
-38.0,148.0,Spring,14.948965266923077
-38.0,148.0,Summer,19.04198052717949
-38.0,148.0,Winter,14.701638012820512
-38.0,150.0,Autumn,19.73768882051282
-38.0,150.0,Spring,16.118283806666668
-38.0,150.0,Summer,20.242725558461533
-38.0,150.0,Winter,15.881484339743588
-38.0,152.0,Autumn,20.558915769230765
-38.0,152.0,Spring,16.94509654051282
-38.0,152.0,Summer,21.05232566102564
-38.0,152.0,Winter,16.74660208974359
-38.0,154.0,Autumn,20.563580897435898
-38.0,154.0,Spring,16.971698646666667
-38.0,154.0,Summer,21.008074166153847
-38.0,154.0,Winter,16.83522792948718
-38.0,156.0,Autumn,20.19216255128205
-38.0,156.0,Spring,16.701487534358975
-38.0,156.0,Summer,20.605427595384615
-38.0,156.0,Winter,16.596553025641025
-38.0,158.0,Autumn,19.791141256410256
-38.0,158.0,Spring,16.44368582051282
-38.0,158.0,Summer,20.21639955846154
-38.0,158.0,Winter,16.35085339102564
-38.0,160.0,Autumn,19.423634705128205
-38.0,160.0,Spring,16.21293203282051
-38.0,160.0,Summer,19.89202261948718
-38.0,160.0,Winter,16.12570171153846
-36.0,110.0,Autumn,18.19651844871795
-36.0,110.0,Spring,15.165369260256412
-36.0,110.0,Summer,18.107814711794873
-36.0,110.0,Winter,15.608670814102567
-36.0,112.0,Autumn,18.711773243589743
-36.0,112.0,Spring,15.600460175384617
-36.0,112.0,Summer,18.47376385076923
-36.0,112.0,Winter,16.150815506410257
-36.0,114.0,Autumn,19.180786705128202
-36.0,114.0,Spring,16.039526315641027
-36.0,114.0,Summer,18.835311474871798
-36.0,114.0,Winter,16.676383064102566
-36.0,116.0,Autumn,19.252827051282054
-36.0,116.0,Spring,16.164688729999998
-36.0,116.0,Summer,18.88714662
-36.0,116.0,Winter,16.821456006410255
-36.0,118.0,Autumn,18.904788038461536
-36.0,118.0,Spring,15.910750282051282
-36.0,118.0,Summer,18.63045826205128
-36.0,118.0,Winter,16.509662679487178
-36.0,120.0,Autumn,18.600761641025642
-36.0,120.0,Spring,15.622465328974357
-36.0,120.0,Summer,18.43124969794872
-36.0,120.0,Winter,16.131181358974356
-36.0,122.0,Autumn,18.451037435897437
-36.0,122.0,Spring,15.40048891948718
-36.0,122.0,Summer,18.351753047179486
-36.0,122.0,Winter,15.80654575
-36.0,124.0,Autumn,18.317287025641026
-36.0,124.0,Spring,15.218131837179486
-36.0,124.0,Summer,18.305973416410257
-36.0,124.0,Winter,15.476551230769232
-36.0,126.0,Autumn,18.20301612820513
-36.0,126.0,Spring,15.09110352923077
-36.0,126.0,Summer,18.277850534871792
-36.0,126.0,Winter,15.204826570512822
-36.0,128.0,Autumn,18.08124164102564
-36.0,128.0,Spring,14.985042897435898
-36.0,128.0,Summer,18.20909341076923
-36.0,128.0,Winter,15.01706705128205
-36.0,130.0,Autumn,18.035985294871796
-36.0,130.0,Spring,15.010972816666666
-36.0,130.0,Summer,18.168353617948714
-36.0,130.0,Winter,15.044948647435897
-36.0,132.0,Autumn,18.07105655128205
-36.0,132.0,Spring,15.137533504871795
-36.0,132.0,Summer,18.18817327897436
-36.0,132.0,Winter,15.229699852564101
-36.0,134.0,Autumn,18.115032307692307
-36.0,134.0,Spring,15.240920083076922
-36.0,134.0,Summer,18.266800923076925
-36.0,134.0,Winter,15.371773653846155
-36.0,136.0,Autumn,18.098287512820512
-36.0,136.0,Spring,15.281571542051282
-36.0,136.0,Summer,18.373893680512822
-36.0,136.0,Winter,15.383124294871797
-36.0,138.0,Autumn,17.96143937179487
-36.0,138.0,Spring,15.277278629487178
-36.0,138.0,Summer,18.374722768205128
-36.0,138.0,Winter,15.330787115384615
-36.0,140.0,Autumn,17.631716384615384
-36.0,140.0,Spring,15.127799733589745
-36.0,140.0,Summer,18.097928777948717
-36.0,140.0,Winter,15.169840250000002
-36.0,152.0,Autumn,22.13108641025641
-36.0,152.0,Spring,18.621194221538463
-36.0,152.0,Summer,22.78441287897436
-36.0,152.0,Winter,18.123656435897434
-36.0,154.0,Autumn,22.111016871794874
-36.0,154.0,Spring,18.609110975897437
-36.0,154.0,Summer,22.692040011794873
-36.0,154.0,Winter,18.170511051282052
-36.0,156.0,Autumn,21.759161384615386
-36.0,156.0,Spring,18.29833422307692
-36.0,156.0,Summer,22.26224825846154
-36.0,156.0,Winter,17.959012564102565
-36.0,158.0,Autumn,21.3277458974359
-36.0,158.0,Spring,17.944233486153845
